iter	Passed	Remaining
177	496	2294
178	498	2285
179	499	2275
180	501	2267
181	502	2257
182	503	2247
183	505	2239
184	506	2231
185	507	2223
186	509	2214
187	510	2205
188	511	2196
189	513	2187
190	514	2178
191	515	2170
192	517	2162
193	518	2154
194	519	2146
195	521	2137
196	522	2129
197	524	2124
198	526	2117
199	527	2109
200	528	2101
201	529	2093
202	531	2086
203	532	2078
204	534	2071
205	535	2063
206	536	2056
207	538	2048
208	539	2040
209	540	2032
210	541	2025
211	542	2018
212	544	2010
213	545	2003
214	546	1996
215	548	1989
216	549	1982
217	550	1974
218	551	1966
219	552	1960
220	554	1953
221	555	1946
222	556	1938
223	557	1932
224	559	1926
225	560	1920
226	561	1913
227	563	1906
228	564	1899
229	565	1894
230	567	1888
231	568	1881
232	569	1874
233	570	1868
234	572	1865
235	574	1858
236	575	1852
237	577	1847
238	578	1842
239	580	1837
240	581	1831
241	582	1825
242	584	1820
243	585	1815
244	587	1809
245	588	1803
246	589	1797
247	591	1792
248	592	1786
249	593	1780
250	594	1774
251	595	1768
252	597	1763
253	598	1757
254	599	1751
255	600	1745
256	601	1740
257	603	1734
258	604	1729
259	605	1723
260	606	1717
261	607	1712
262	609	1707
263	610	1701
264	611	1696
265	612	1690
266	613	1685
267	615	1680
268	616	1674
269	617	1669
270	618	1664
271	620	1659
272	621	1654
273	622	1649
274	623	1644
275	624	1639
276	626	1635
277	627	1630
278	628	1625
279	630	1620
280	631	1615
281	632	1610
282	633	1605
283	635	1601
284	636	1596
285	638	1593
286	639	1588
287	640	1584
288	642	1579
289	643	1574
290	644	1570
291	645	1565
292	647	1562
293	648	1557
294	650	1553
295	651	1549
296	652	1545
297	653	1540
298	655	1536
299	657	1533
300	658	1528
301	659	1524
302	660	1520
303	662	1516
304	663	1512
305	665	1508
306	666	1504
307	667	1500
308	669	1496
309	670	1492
310	671	1488
311	673	1484
312	674	1480
313	675	1476
314	677	1472
315	678	1469
316	680	1466
317	682	1463
318	683	1459
319	685	1455
320	686	1452
321	687	1448
322	689	1444
323	690	1440
324	692	1437
325	693	1434
326	695	1430
327	696	1426
328	697	1422
329	698	1419
330	700	1415
331	701	1411
332	702	1407
333	704	1404
334	705	1400
335	707	1397
336	708	1393
337	709	1389
338	710	1386
339	712	1382
340	713	1378
341	714	1375
342	716	1371
343	717	1368
344	718	1364
345	720	1361
346	721	1357
347	722	1354
348	724	1350
349	725	1346
350	726	1343
351	727	1339
352	729	1336
353	730	1332
354	731	1329
355	733	1326
356	735	1324
357	736	1321
358	738	1318
359	739	1314
360	741	1313
361	743	1309
362	744	1306
363	745	1302
364	747	1299
365	748	1296
366	749	1293
367	750	1289
368	752	1286
369	753	1283
370	755	1280
371	756	1276
372	757	1273
373	759	1271
374	761	1268
375	762	1265
376	763	1261
377	764	1258
378	766	1255
379	767	1252
380	768	1248
381	769	1245
382	771	1242
383	772	1239
384	774	1236
385	775	1233
386	776	1230
387	778	1227
388	779	1224
389	780	1221
390	782	1218
391	783	1215
392	785	1212
393	786	1209
394	788	1207
395	789	1204
396	790	1201
397	792	1198
398	793	1195
399	794	1192
400	796	1189
401	797	1186
402	799	1183
403	800	1181
404	801	1178
405	803	1175
406	804	1172
407	805	1168
408	807	1166
409	808	1163
410	809	1160
411	811	1157
412	812	1154
413	813	1152
414	815	1149
415	817	1146
416	818	1144
417	819	1141
418	821	1138
419	822	1135
420	823	1132
421	824	1129
422	826	1127
423	827	1124
424	828	1121
425	830	1118
426	831	1115
427	832	1112
428	833	1109
429	834	1106
430	836	1103
431	837	1101
432	838	1098
433	841	1096
434	842	1094
435	843	1091
436	845	1088
437	846	1085
438	847	1082
439	848	1080
440	849	1077
441	851	1074
442	852	1071
443	853	1069
444	855	1066
445	856	1063
446	857	1061
447	859	1058
448	860	1055
449	861	1053
450	862	1050
451	864	1047
452	865	1044
453	866	1042
454	868	1039
455	869	1037
456	870	1034
457	871	1031
458	873	1029
459	874	1026
460	875	1023
461	876	1021
462	878	1018
463	879	1015
464	880	1013
465	881	1010
466	883	1007
467	884	1005
468	885	1002
469	887	1000
470	888	997
471	889	995
472	890	992
473	892	989
474	893	987
475	894	984
476	895	982
477	897	979
478	898	977
479	899	974
480	900	972
481	902	969
482	903	967
483	904	964
484	906	962
485	907	959
486	909	957
487	910	955
488	912	953
489	913	950
490	914	948
491	916	945
492	917	943
493	918	941
494	919	938
495	921	935
496	922	933
497	923	930
498	924	928
499	925	925
500	927	923
501	928	920
502	929	918
503	930	916
504	932	913
505	933	911
506	934	908
507	935	906
508	937	903
509	938	901
510	939	899
511	940	896
512	942	894
513	943	891
514	944	889
515	945	887
516	947	884
517	948	882
518	949	880
519	951	878
520	953	876
521	954	874
522	956	871
523	957	870
524	959	867
525	960	865
526	962	863
527	964	862
528	965	859
529	966	857
530	968	855
531	970	853
532	971	851
533	973	849
534	974	847
535	975	844
536	977	842
537	978	840
538	979	837
539	980	835
540	982	833
541	983	831
542	984	828
543	986	826
544	987	824
545	988	822
546	990	819
547	991	817
548	992	815
549	993	813
550	995	810
551	996	808
552	997	806
553	998	804
554	1000	802
555	1001	799
556	1002	797
557	1004	795
558	1005	793
559	1006	791
560	1008	788
561	1009	786
562	1010	784
563	1011	782
564	1013	779
565	1014	777
566	1015	775
567	1016	773
568	1018	771
569	1019	769
570	1020	766
571	1022	764
572	1023	762
573	1024	760
574	1025	758
575	1027	756
576	1028	753
577	1029	751
578	1030	749
579	1032	747
580	1033	745
581	1034	743
582	1036	741
583	1037	738
584	1038	736
585	1039	734
586	1041	732
587	1042	730
588	1043	728
589	1045	726
590	1046	724
591	1048	722
592	1049	720
593	1050	718
594	1051	716
595	1053	714
596	1054	712
597	1056	709
598	1057	707
599	1058	705
600	1060	703
601	1061	701
602	1062	699
603	1064	697
604	1065	695
605	1066	693
606	1068	691
607	1069	689
608	1070	687
609	1071	685
610	1073	683
611	1074	681
612	1075	679
613	1076	676
614	1078	674
615	1079	672
616	1080	670
617	1081	668
618	1082	666
619	1084	664
620	1085	662
621	1086	660
622	1088	658
623	1089	656
624	1090	654
625	1092	652
626	1093	650
627	1094	648
628	1095	646
629	1097	644
630	1098	642
631	1099	640
632	1101	638
633	1102	636
634	1104	634
635	1105	632
636	1106	630
637	1108	628
638	1109	626
639	1110	624
640	1111	622
641	1113	620
642	1114	618
643	1115	616
644	1117	614
645	1118	612
646	1119	610
647	1121	608
648	1122	607
649	1123	605
650	1124	603
651	1126	601
652	1127	599
653	1129	597
654	1130	595
655	1131	593
656	1133	591
657	1134	589
658	1135	587
659	1137	585
660	1138	583
661	1140	582
662	1141	580
663	1142	578
664	1144	576
665	1145	574
666	1147	572
667	1148	570
668	1149	568
669	1151	567
670	1152	565
671	1154	563
672	1156	562
673	1158	560
674	1159	558
675	1160	556
676	1162	554
677	1163	552
678	1164	550
679	1166	548
680	1167	547
681	1169	545
682	1170	543
683	1171	541
684	1172	539
685	1174	537
686	1175	535
687	1177	533
688	1178	531
689	1179	530
690	1181	528
691	1182	526
692	1184	524
693	1185	522
694	1187	520
695	1188	519
696	1189	517
697	1191	515
698	1192	513
699	1193	511
700	1195	509
701	1196	507
702	1197	506
703	1199	504
704	1200	502
705	1201	500
706	1203	498
707	1204	496
708	1206	495
709	1207	493
710	1208	491
711	1210	489
712	1212	488
713	1213	486
714	1215	484
715	1216	482
716	1218	481
717	1219	479
718	1221	477
719	1223	475
720	1224	473
721	1226	472
722	1227	470
723	1228	468
724	1230	466
725	1231	464
726	1233	463
727	1234	461
728	1236	459
729	1237	457
730	1238	455
731	1240	454
732	1241	452
733	1242	450
734	1243	448
735	1245	446
736	1246	444
737	1247	442
738	1249	441
739	1250	439
740	1252	437
741	1253	435
742	1254	433
743	1256	432
744	1257	430
745	1259	428
746	1260	426
747	1261	425
748	1263	423
749	1264	421
750	1265	419
751	1267	417
752	1268	416
753	1269	414
754	1271	412
755	1272	410
756	1273	408
757	1274	407
758	1276	405
759	1277	403
760	1278	401
761	1280	399
762	1281	398
763	1282	396
764	1284	394
765	1285	392
766	1286	390
767	1288	389
768	1289	387
769	1290	385
770	1292	383
771	1293	381
772	1294	380
773	1295	378
774	1297	376
775	1298	374
776	1299	373
777	1301	371
778	1302	369
779	1304	367
780	1305	366
781	1306	364
782	1308	362
783	1309	360
784	1310	359
785	1312	357
786	1314	355
787	1315	353
788	1317	352
789	1318	350
790	1320	348
791	1322	347
792	1323	345
793	1324	343
794	1326	342
795	1328	340
796	1330	338
797	1332	337
798	1334	335
799	1335	333
800	1337	332
801	1339	330
802	1340	328
803	1341	327
804	1343	325
805	1345	323
806	1346	322
807	1348	320
808	1350	318
809	1352	317
810	1353	315
811	1355	313
812	1357	312
813	1358	310
814	1360	308
815	1361	307
816	1363	305
817	1365	303
818	1366	302
819	1368	300
820	1369	298
821	1372	297
822	1373	295
823	1375	293
824	1376	292
825	1378	290
826	1380	288
827	1381	286
828	1383	285
829	1384	283
830	1385	281
831	1387	280
832	1388	278
833	1390	276
834	1391	275
835	1393	273
836	1394	271
837	1396	269
838	1397	268
839	1399	266
840	1400	264
841	1402	263
842	1403	261
843	1405	259
844	1406	258
845	1408	256
846	1409	254
847	1411	252
848	1412	251
849	1414	249
850	1415	247
851	1418	246
852	1419	244
853	1420	242
854	1422	241
855	1424	239
856	1425	237
857	1427	236
858	1429	234
859	1430	232
860	1432	231
861	1433	229
862	1434	227
863	1436	226
864	1438	224
865	1439	222
866	1441	221
867	1442	219
868	1443	217
869	1445	215
870	1446	214
871	1447	212
872	1449	210
873	1450	209
874	1452	207
875	1454	205
876	1455	204
877	1456	202
878	1458	200
879	1459	199
880	1461	197
881	1462	195
882	1463	193
883	1465	192
884	1467	190
885	1468	188
886	1469	187
887	1471	185
888	1472	183
889	1473	182
890	1476	180
891	1479	179
892	1480	177
893	1481	175
894	1483	174
895	1485	172
896	1486	170
897	1487	168
898	1489	167
899	1490	165
900	1492	163
901	1493	162
902	1495	160
903	1497	158
904	1498	157
905	1499	155
906	1501	153
907	1502	152
908	1504	150
909	1505	148
910	1507	147
911	1508	145
912	1510	143
913	1511	142
914	1512	140
915	1514	138
916	1515	137
917	1517	135
918	1518	133
919	1519	132
920	1521	130
921	1522	128
922	1524	127
923	1525	125
924	1526	123
925	1528	122
926	1529	120
927	1530	118
928	1532	117
929	1534	115
930	1535	113
931	1536	112
932	1539	110
933	1540	108
934	1542	107
935	1543	105
936	1545	103
937	1546	102
938	1547	100
939	1549	98
940	1550	97
941	1551	95
942	1553	93
943	1554	92
944	1555	90
945	1557	88
946	1558	87
947	1559	85
948	1561	83
949	1562	82
950	1564	80
951	1565	78
952	1566	77
953	1568	75
954	1569	73
955	1570	72
956	1571	70
957	1573	68
958	1574	67
959	1575	65
960	1577	64
961	1578	62
962	1579	60
963	1581	59
964	1582	57
965	1583	55
966	1584	54
967	1586	52
968	1587	50
969	1588	49
970	1589	47
971	1591	45
972	1592	44
973	1593	42
974	1594	40
975	1595	39
976	1597	37
977	1598	35
978	1599	34
979	1600	32
980	1602	31
981	1603	29
982	1604	27
983	1606	26
984	1607	24
985	1608	22
986	1609	21
987	1611	19
988	1612	17
989	1614	16
990	1615	14
991	1616	13
992	1617	11
993	1618	9
994	1620	8
995	1621	6
996	1622	4
997	1623	3
998	1624	1
999	1625	0
